# Dear prospective user. The following is a sample data file
# that you can submit to the poprep.tzv.fal.de webservice to
# demonstrate, how it can be used.
#
# The pedigree file needs to have five columns:
# 1. animal ID - treated as character string
# 2. sire ID   - treated as character string
# 3. dam ID    - treated as character string
# 4. birthdate - animal's birthdate (a number of
#                formats are handled (see website)
# 5. sex       - animal's sex: choose your own coding
#                1 - male; 2 - female or m/f
# The columns are separated by the pipe sign: |
#
# Regarding base animals, you have two options:
# 1. list them explictitly as shown here:
#    79950|75900|4500865|1952-03-04|M
#    4500865|unknown_sire|unknown_dam|1950-03-24|F
# 2. no need to list them at all; then sires and dams
#    that do not have an animal record of their own are
#    considered base animals:
#    79950|75900|4500865|1952-03-04|M
#    No animal record for 4500865 in the pedigree file. We will create an
#    appropriate one for you.
#
# You can run this pedigree file as is (# comments are ignored) by
# submitting this file to poprep.tzv.fal.de
#
# Enjoy! EG
# -----------------------------------------------------------
393452|501228|20422543|1991-02-11|M
100392|450001|590226|1965-01-12|M
132355|143148|2738012|1975-11-01|M
501203|198018|81789|1972-03-24|M
41767810|399580|21005271|1997-11-01|F
413527|501229|7867278|1995-01-02|M
2179|19790|unknown_dam|1961-12-14|F
414267|393931|7756468|1995-11-18|M
48859281|815792|48111619|2006-05-23|M
6241751|545293|1111521|1976-03-17|F
1049842|199700|691326|1967-11-01|F
48111681|413520|44198191|2004-03-02|M
20683166|501200|20377790|1988-02-06|F
44198393|399580|21337199|2000-05-20|M
20207668|501216|20003560|1983-12-02|F
42440180|393141|21337018|1999-02-09|M
7867252|501228|7167465|1990-10-08|F
108281|98700|512912|1969-02-09|M
45858148|396291|42440146|2001-10-12|F
46488470|397032|42486054|2002-07-22|M
396291|391883|7455237|1993-03-11|M
45858147|399580|42486016|2001-10-11|F
48111786|413521|45858125|2005-01-22|M
21337042|500006|20767261|1994-04-01|F
78600|73900|416722|1953-10-25|M
7167468|501244|6621752|1985-11-29|F
40197246|313692|21004994|1995-12-06|F
8753024|390168|5714934|1992-03-06|F
404995|65000|268761|1950-03-24|F
10016246|393931|8271213|1996-03-04|F
941712|972302|61473146|1986-02-02|M
40447306|313692|21233255|1996-01-09|M
395686|391883|7867251|1992-11-23|M
5215466|546089|4500872|1977-10-02|F
21132628|501244|20766337|1992-09-20|F
501189|138022|7212874|1977-11-06|M
46488546|394856|44198345|2003-01-07|F
42440120|393141|40447310|1998-12-03|M
7210163|105499|5203419|1976-11-20|F
44198330|393934|21232639|2000-02-24|F
40197455|394851|21232629|1994-10-18|M
546089|40119|4035865|1969-12-23|M
48111730|413520|45858155|2004-08-29|M
48859226|815768|46488491|2005-11-09|F
21337176|394196|7867240|1995-01-27|M
544190|60768|657952|1967-03-24|M
21004994|945983|61433533|1985-03-15|F
21337195|501229|7867279|1995-01-06|F
10016112|501226|7756473|1995-10-12|F
6974748|501222|5215476|1983-04-10|F
42440081|396291|7756462|1998-10-29|F
501147|162680|2669168|1975-01-27|M
538660|639400|273846|1960-10-21|M
41767750|399580|21005268|1997-01-15|F
399578|500006|21005308|1994-04-20|M
8271274|391883|7455369|1993-03-04|F
501198|157706|2317267|1977-09-08|M
100400|196700|469468|1965-02-01|M
40447377|393141|8412409|1996-11-25|F
108480|103714|533125|1969-04-23|M
7455307|501200|7167506|1986-12-03|F
501244|147099|7143523|1976-01-25|M
45858059|399580|42486004|2001-01-28|F
41767741|391873|21233376|1996-12-24|F
501094|143148|unknown_dam|1973-12-19|M
10016264|501229|8271215|1996-03-30|F
303977|64235|478102|1965-06-29|F
391882|314478|20207461|1988-12-10|M
40447323|501229|21003765|1996-02-11|F
21004504|501226|20423067|1991-03-18|F
21005000|945943|63927083|1987-01-13|F
313692|451170|2607701|1972-04-09|M
45858013|399580|41767818|2000-10-09|F
8858909|772571|7756473|1994-10-12|F
45858118|399580|21337199|2001-07-16|F
42440072|397032|8271221|1998-10-20|F
397035|391873|20559655|1993-07-11|M
41767814|397036|7756468|1997-11-04|F
820144|36777|683008|1961-12-07|F
42486093|397033|42440150|2003-10-23|M
393141|314478|20559641|1990-12-11|M
42440177|397036|21337199|1999-02-07|F
20207675|501216|8221299|1984-01-01|F
20557819|313692|8271925|1986-11-25|F
8539835|501157|5171927|1979-05-04|F
46488536|414262|42440081|2002-12-31|F
815772|743434|19975860|1995-06-22|M
393931|93800|20446190|1991-02-20|M
96350|89000|446967|1962-11-01|M
7867280|390168|7455330|1991-09-30|F
41767808|391873|21338084|1997-10-30|F
398241|16590|7867265|1994-11-18|M
21005309|941664|63928894|1988-04-08|F
410406|65000|352808|1950-05-15|F
48111713|393142|44198200|2004-05-29|M
45858048|399580|40447348|2000-12-26|F
77900|70800|390599|1952-12-22|M
5185492|199700|195911|1973-04-07|F
44198323|394851|21546079|2000-02-12|M
504237|37934|448749|1963-09-05|F
941707|941638|63927145|1985-10-09|M
5153200|40520|2555933|1970-12-04|F
21003813|314478|20684667|1990-11-22|F
2707027|65831|2308131|1970-11-29|F
414265|500006|8271282|1995-11-16|M
44198345|394851|40447346|2000-03-15|F
397934|500006|7756443|1994-09-26|M
46488437|393934|41767821|2002-03-07|M
72200|69200|390852|1950-11-23|M
21338085|501226|21005309|1994-02-17|F
74400|66650|363742|1952-03-18|M
183079|79473|433603|1955-12-03|M
399582|501234|21005307|1994-03-21|M
978769|71341|358508|1952-10-31|M
46488595|399578|42440177|2003-06-21|M
48358855|815768|41767757|2006-01-09|M
7455340|501234|6621748|1987-03-05|F
48859220|815792|46488546|2005-10-04|F
6621752|501223|5863352|1981-11-08|F
48859186|413526|44198364|2005-06-07|M
398243|16590|7455265|1994-11-24|M
7455237|500807|6621740|1987-01-05|F
5863467|240342|4500239|1980-01-25|F
240046|13900|4206483|1966-01-15|M
189423|85100|434675|1959-03-03|M
42440100|396291|40447373|1998-11-14|M
42486067|393934|8271282|1998-09-25|F
501165|167932|2327640|1976-11-07|M
501228|75695|7502470|1980-01-27|M
48111647|397025|44198272|2003-12-25|M
44198339|397032|21003728|2000-03-08|F
46488584|394856|44198206|2003-04-19|F
450920|450001|725173|1967-10-30|M
395688|105499|20893603|1992-11-28|M
40447301|501229|21131955|1995-12-23|F
8415959|85100|132929|1966-01-16|F
5215385|501032|6893979|1977-12-24|F
8271235|501244|7756401|1992-10-19|F
543670|183079|503500|1964-11-22|M
311920|334511|504237|1968-11-11|M
48111619|399582|44198273|2003-09-27|F
41767740|394891|21338085|1996-12-23|M
772451|543670|6859095|1968-09-19|M
42486042|399578|21546401|1998-03-02|F
488097|79700|446526|1956-11-22|F
40197295|391873|21005306|1996-03-09|F
44198294|397032|40447374|1999-12-28|F
40447331|313692|21003728|1996-02-23|M
501225|62291|362448|1977-02-23|M
5675815|7167519|20146273|1986-12-05|F
20893672|20894159|20683038|1990-09-22|F
5215336|105499|4500865|1976-11-27|F
10016137|16590|8271221|1995-11-04|F
42486049|395685|21232714|1998-03-15|F
391890|501215|5863325|1987-11-29|M
48111783|413526|44198273|2005-01-13|M
541009|539150|483488|1962-11-09|M
21546024|313692|21005307|1995-04-04|F
19040|16205|94449|1954-04-12|M
42486039|393141|21003728|1998-02-08|F
7455378|501215|6974851|1988-03-28|F
48859216|815768|46488536|2005-10-02|M
21003765|314478|20684241|1990-12-31|F
394851|391877|7756418|1992-02-27|M
